index,_id_x,auction_location,auction_time,city_url,date_of_auction,date_of_scraping,deposit,law_firm,listing_url,principal_amount,principal_date,property_address,_id_y,bathrooms,bedrooms,lat,lgn,region_name,unique_id,zcity,zestimate,zpid,zstate,zstreet_address,zzip,days_from_principal_date,estimated_principal,estimated_equity
146,5cb0e959737ae134b821ef21,"14735 Main St, Upper Marlboro, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty.html,4/12/8309,39:05.1,$0,"Alba Law Group, http://www.tidewaterauctions.com",http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/listings/93739/00024612.html,"$50,000",3/19/2019,"real property known as no. 8309 kittama drive clinton, md 20735",5cb0eca4737ae134b821f095,3,4,38.700141,-77.403583,Manassas,5cb0e959737ae134b821ef21,Manassas,"$548,076",52005755,VA,6650 Deep Hollow Ln,20112,24,"$49,890","-$498,186"
149,5cb0e963737ae134b821ef24,"14735 Main St, Upper Marlboro, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty.html,4/12/9601,39:15.4,$0,"Alba Law Group, http://www.tidewaterauctions.com",http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/listings/93743/00024616.html,"$50,000",3/19/2019,"real property known as no. 9601 byward boulevard mitchellville, md 20721",5cb0eca4737ae134b821f098,3,4,38.700141,-77.403583,Manassas,5cb0e963737ae134b821ef24,Manassas,"$548,076",52005755,VA,6650 Deep Hollow Ln,20112,24,"$49,890","-$498,186"
150,5cb0e966737ae134b821ef25,"14735 Main St, Upper Marlboro, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty.html,3/19/2019,39:18.9,$0,"Alba Law Group, http://www.tidewaterauctions.com",http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/listings/93745/00024618.html,"$50,000",3/19/2019,real property known as no. 16609,5cb0eca6737ae134b821f099,3,4,38.700141,-77.403583,Manassas,5cb0e966737ae134b821ef25,Manassas,"$548,076",52005755,VA,6650 Deep Hollow Ln,20112,24,"$49,890","-$498,186"
152,5cb0e96d737ae134b821ef27,"14735 Main St, Upper Marlboro, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty.html,3/19/2019,39:25.8,$0,"Alba Law Group, http://www.tidewaterauctions.com",http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/listings/93749/00024619.html,"$50,000",3/19/2019,real property known as no. 10913,5cb0eca6737ae134b821f09b,3,4,38.700141,-77.403583,Manassas,5cb0e96d737ae134b821ef27,Manassas,"$548,076",52005755,VA,6650 Deep Hollow Ln,20112,24,"$49,890","-$498,186"
158,5cb0e982737ae134b821ef2d,"14735 Main St, Upper Marlboro, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/2.html,3/26/2019,39:46.8,$0,"Alba Law Group, http://www.tidewaterauctions.com",http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/listings/94011/00024897.html,"$50,000",3/26/2019,"real property known as no. 6402 wood pointe drive glenn dale, md 20769",5cb0eca8737ae134b821f0a1,3,4,38.700141,-77.403583,Manassas,5cb0e982737ae134b821ef2d,Manassas,"$548,076",52005755,VA,6650 Deep Hollow Ln,20112,17,"$49,922","-$498,154"
167,5cb0e9a3737ae134b821ef36,"14735 Main St, Upper Marlboro, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/3.html,4/9/2019,40:19.6,$0,"Alba Law Group, http://www.tidewaterauctions.com",http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/listings/94559/00025473.html,"$50,000",4/9/2019,real property known as no. 13008,5cb0ecaa737ae134b821f0aa,3,4,38.700141,-77.403583,Manassas,5cb0e9a3737ae134b821ef36,Manassas,"$548,076",52005755,VA,6650 Deep Hollow Ln,20112,3,"$49,986","-$498,090"
173,5cb0e9b9737ae134b821ef3c,"14735 Main St, Upper Marlboro, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/3.html,4/16/2019,40:41.1,$0,"Alba Law Group, http://www.tidewaterauctions.com",http://classified.washingtontimes.com/category/360/Foreclosure-Sales-PG-Cty/listings/94859/00025819.html,"$50,000",4/16/2019,real property known as no. 15511,5cb0ecad737ae134b821f0b0,3,4,38.700141,-77.403583,Manassas,5cb0e9b9737ae134b821ef3c,Manassas,"$548,076",52005755,VA,6650 Deep Hollow Ln,20112,-4,"$50,018","-$498,058"
292,5cb0eb5b737ae134b821efb3,"4910 Massachusetts,  4910 Massachusetts Ave., NW #100, Washington, DC 20016, 202-364-0306",12:18 PM,http://classified.washingtontimes.com/category/357/Foreclosure-Sales-DC.html,4/12/4910,47:39.4,$0,"Alex Cooper Auctioneers, http://www.alexcooper.com",http://classified.washingtontimes.com/category/357/Foreclosure-Sales-DC/listings/93518/00024464.html,"$50,000",2/27/2006,"judicial   real property 5117 western ave., nw washington, dc 20016",5cb0eccb737ae134b821f127,4,5,38.834996,-77.18124,Annandale,5cb0eb5b737ae134b821efb3,Annandale,"$762,263",51847860,VA,4110 Cottage Ln,22003,4792,"$28,119","-$734,144"
349,5cb0ec2b737ae134b821efec,"4910 Massachusetts,  4910 Massachusetts Ave., NW #100, Washington, DC 20016, 202-364-0306",11:02 AM,http://classified.washingtontimes.com/category/357/Foreclosure-Sales-DC/7.html,4/12/4910,51:07.4,$0,"Alex Cooper Auctioneers, http://www.alexcooper.com",http://classified.washingtontimes.com/category/357/Foreclosure-Sales-DC/listings/94129/00025043.html,"$50,000",4/7/2006,"foreclosure   real property 3316 oxon run rd., se washington, dc 20032",5cb0ecdc737ae134b821f160,4,5,38.834996,-77.18124,Annandale,5cb0ec2b737ae134b821efec,Annandale,"$762,263",51847860,VA,4110 Cottage Ln,22003,4753,"$28,297","-$733,966"
356,5cb0ec44737ae134b821eff3,"4910 Massachusetts,  4910 Massachusetts Ave., NW #100, Washington, DC 20016, 202-364-0306",11:00 AM,http://classified.washingtontimes.com/category/357/Foreclosure-Sales-DC/8.html,4/12/4910,51:32.3,$0,"Alex Cooper Auctioneers, http://www.alexcooper.com",http://classified.washingtontimes.com/category/357/Foreclosure-Sales-DC/listings/94670/00025643.html,"$50,000",4/21/2006,"foreclosure   real property 401 a st., ne #2 washington, dc 20002",5cb0ecde737ae134b821f167,4,5,38.834996,-77.18124,Annandale,5cb0ec44737ae134b821eff3,Annandale,"$762,263",51847860,VA,4110 Cottage Ln,22003,4739,"$28,361","-$733,902"
